Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
80,0.97,6.256373167037964,2381.21,0.0424
80,0.98,6.287160396575928,2397.09,0.04355
80,0.99,6.3540990352630615,2412.65,0.04621
85,0.05,4.729703664779663,2825.05,0.04102
85,0.1,4.7092766761779785,2680.47,0.04124
85,0.15,4.824918508529663,2530.69,0.04117
85,0.2,4.838522911071777,2384.18,0.04087
85,0.25,4.91690468788147,2239.87,0.04108
85,0.3,5.020457744598389,2091.18,0.04093
85,0.35,5.111012697219849,1944.67,0.04107
85,0.4,5.126927852630615,1802.36,0.04121
85,0.45,5.149317741394043,1653.4,0.04123
85,0.5,5.260807752609253,1633.66,0.04139
85,0.55,5.361552715301514,1713.51,0.04126
85,0.6,5.4117090702056885,1792.85,0.04112
85,0.65,5.434361457824707,1873.52,0.04125
85,0.7,5.508249521255493,1952.58,0.04129
85,0.75,5.557130575180054,2032.13,0.0416
85,0.8,5.686278343200684,2113.63,0.04102
85,0.85,5.748885631561279,2192.47,0.04115
85,0.9,5.825281381607056,2271.88,0.0415
85,0.95,5.923505783081055,2351.88,0.04209
85,0.96,5.982207775115967,2367.69,0.04222
85,0.97,6.0502028465271,2383.5,0.04299
85,0.98,6.133033752441406,2399.4,0.04339
85,0.99,6.251284122467041,2414.98,0.04603
90,0.05,4.712491750717163,2825.05,0.04109
90,0.1,4.744035005569458,2680.47,0.04135
90,0.15,4.754939079284668,2530.69,0.0413
90,0.2,4.797362327575684,2384.18,0.04129
90,0.25,4.991286516189575,2239.87,0.04139
90,0.3,4.955594539642334,2091.18,0.04107
90,0.35,5.079622030258179,1944.67,0.04139
90,0.4,5.0769898891448975,1802.36,0.04112
90,0.45,5.199574947357178,1653.4,0.04144
90,0.5,5.2830915451049805,1638.01,0.04126
90,0.55,5.347740650177002,1717.31,0.0413
90,0.6,5.341733694076538,1799.57,0.04143
90,0.65,5.435629844665527,1878.37,0.04103
90,0.7,5.500568866729736,1964.55,0.04137
90,0.75,5.538356065750122,2046.74,0.04094
90,0.8,5.705336809158325,2136.52,0.04107
90,0.85,5.697659730911255,2219.91,0.04141
90,0.9,5.813104629516602,2305.36,0.04149
90,0.95,5.880801439285278,2390.8,0.04186
90,0.96,5.962846755981445,2409.09,0.04235
90,0.97,5.966831684112549,2423.39,0.04263
90,0.98,6.086164474487305,2441.24,0.04386
90,0.99,6.1021950244903564,2457.91,0.04626
95,0.05,4.657428741455078,2825.05,0.04108
95,0.1,4.7468321323394775,2680.47,0.04111
95,0.15,4.783028602600098,2530.69,0.04174
95,0.2,4.796392202377319,2384.18,0.04101
95,0.25,4.792702913284302,2239.87,0.04105
95,0.3,4.920633554458618,2091.18,0.04134
95,0.35,4.970213890075684,1944.67,0.04142
95,0.4,5.013653993606567,1802.36,0.04121
95,0.45,5.145893812179565,1653.4,0.04118
95,0.5,5.212278842926025,1637.76,0.04102
95,0.55,5.261423110961914,1717.95,0.04095
95,0.6,5.246866941452026,1800.4,0.04138
95,0.65,5.329373598098755,1880.58,0.04096
95,0.7,5.421618223190308,1967.58,0.04121
95,0.75,5.437711715698242,2058.76,0.04103
95,0.8,5.481567859649658,2153.42,0.04119
95,0.85,5.627588272094727,2246.45,0.04121
95,0.9,5.702052593231201,2342.19,0.04152
95,0.95,5.857038974761963,2436.05,0.04182
95,0.96,5.864398956298828,2453.89,0.0422
95,0.97,5.77420449256897,2470.76,0.04313
95,0.98,5.881146430969238,2490.11,0.04334
95,0.99,5.964098930358887,2509.47,0.04603
100,0.05,4.692229509353638,2825.05,0.04133
100,0.1,4.797677040100098,2680.47,0.04117
100,0.15,4.8084046840667725,2530.69,0.04138
100,0.2,4.845129728317261,2384.18,0.04091
100,0.25,4.962302207946777,2239.87,0.04109
100,0.3,4.9807798862457275,2091.18,0.04123
100,0.35,5.140787124633789,1944.67,0.041
100,0.4,5.115431547164917,1802.36,0.04079
100,0.45,5.27519679069519,1653.4,0.04133
100,0.5,5.309826135635376,1639.87,0.04128
100,0.55,5.393201589584351,1718.36,0.04117
100,0.6,5.3245689868927,1800.18,0.04123
100,0.65,5.444638252258301,1883.03,0.04106
100,0.7,5.496157884597778,1962.32,0.04143
100,0.75,5.623535871505737,2048.15,0.04089
100,0.8,5.650416612625122,2133.93,0.04115
100,0.85,5.721863746643066,2216.68,0.04118
100,0.9,5.847531318664551,2298.89,0.04147
100,0.95,5.972458362579346,2386.24,0.04196
100,0.96,5.948020935058594,2402.35,0.04249
100,0.97,6.003204822540283,2418.45,0.04294
100,0.98,5.999725341796875,2435.53,0.04353
100,0.99,6.229453086853027,2450.66,0.0458
